original_comment,cleaned_comment
danantara dana usa aja bobol mangkanya narsum om ded tangkep fbicia gak,danantara dana usa bobol mangkanya narsum ded tangkep fbicia gak
gimana kalo pake meet,gimana kalo pake meet
judol kerja asi,judol kerja asi
biorka hack,biorka hack
lucu ga sih kalo bjorka komen video,lucu kalo bjorka komen video
sumph dri polisi smpek skrng gk ad kualitas nya gmna kualitas org lulus rendah gk pinter yg duit cair jdi polisi,sumph dri polisi smpek skrng kualitas gmna kualitas org lulus rendah pinter duit cair jdi polisi
ladusing wkwkkwkwkw,ladusing wkwkkwkwkw
om ded coba narsumnya tangkap fbi cia,ded coba narsumnya tangkap fbi cia
coba yg hpnya siomi custom rom root absen,coba hpnya siomi custom rom root absen
klo tipu bank yg emang yg tangkap nama bjorka make nama bjorka polisi sh ga slah nangkep bjorka asli nya mah blom ketangkep,klo tipu bank emang tangkap nama bjorka make nama bjorka polisi slah nangkep bjorka asli mah blom ketangkep
koq yaa jd pulisi wkwkw,koq yaa pulisi wkwkw
polisi lulus sma paham psikologi,polisi lulus sma paham psikologi
beban doang kerja egeeee,beban doang kerja egeeee
emg anak autis pintar apalgi atas kertas dunia digital baca artikel berita2,emg anak autis pintar apalgi kertas dunia digital baca artikel berita
yg undang si hacker kyk gak bintang tamu,undang hacker kyk gak bintang tamu
narasumber ada aman buka dc intelijen,narasumber aman buka intelijen
duga ku sangka kait bobol pdn kominfo sengaja abur laku asli laku asli org2 kominfo utk cari untung,duga sangka kait bobol pdn kominfo sengaja abur laku asli laku asli org kominfo utk cari untung
bahas fufufafa om ded,bahas fufufafa ded
cek judul komedi nya,cek judul komedi
yg gw paham sih hacker ga mudah ketangkep ngapain d tamgkep harusny kasih harga uang jaga dr aman cyber bego yg nangkep d hukum citra si coklat,paham hacker mudah ketangkep ngapain tamgkep harusny kasih harga uang jaga aman cyber bego nangkep hukum citra coklat
ku duga,duga
nya polisi ga tangkap,polisi tangkap
gak berani bahas ponpes yg ambruk 67 mati sia sia yg mati racun mbg om botak lg sibuk urus cerai,gak berani bahas ponpes ambruk mati sia sia mati racun mbg botak sibuk urus cerai
sadar gasih kek tau gua curiga bjorka asli sih bagus,sadar gasih kek tau gua curiga bjorka asli bagus
gw prnh ikut lg tele kna 250rbu,prnh ikut tele kna rbu
maaf nanya kopi kaya ngantuk bawa,maaf nanya kopi kaya ngantuk bawa
polisi konoha guna,polisi konoha
aja ajar jd hacker besok praktek coba ah hack chanelnya om daddy ijin om ngetes aja,ajar hacker besok praktek coba hack chanelnya daddy ijin ngetes
percaya az,percaya
drama mulu ah polisi,drama mulu polisi
pinjol ilegal judol aja tetep aman jaaya sentosa preeeeet kalo bener nagkep bjorka,pinjol ilegal judol tetep aman jaaya sentosa preeeeet kalo bener nagkep bjorka
ketangkep bjirrrka,ketangkep bjirrrka
percaya gk percayaada info security cyber pwrbankan indonesia byarany 1m hari,percaya percayaada info security cyber pwrbankan indonesia byarany hari
1 thun tukang jual es tangkap kalo gak salah,thun tukang jual tangkap kalo gak salah
mohon info real emang polisi jago it buka masuk nya hasil bayar duli mampu,mohon info real emang polisi jago buka masuk hasil bayar duli mampu
bjiorka lu tangkep kw bjiorwi,bjiorka tangkep bjiorwi
hat2 dek pancing ntar kau kena,hat dek pancing ntar kau kena
dlu jaman gua skolah 2013an pgi bingung pul bnyk cok jln raya motor rawan ajg skrng gda coy mls gausa jauh2 permainna cyber wmmwmw,dlu jaman gua skolah pgi bingung pul bnyk cok jln raya motor rawan ajg skrng gda coy mls gausa jauh permainna cyber wmmwmw
hacker manipulasi,hacker manipulasi
hacker pekerjakn pmerintah nangkepin koruptor orang zolim hack wa pjabat tambang,hacker pekerjakn pmerintah nangkepin koruptor orang zolim hack pjabat tambang
kalo tau org kunci nya 2004,kalo tau org kunci
skimeng carding,skimeng carding
jim govendi hime7 salah nama yg gw tau,jim govendi hime salah nama tau
halahh dlu nyari data bocor bjorka ajah ga ketemu impact masyarakat efek bocor nya gimana bahas judul isi draf nya ga sebar curiga bjorka orang alih isu ajah,halahh dlu nyari data bocor bjorka ajah ketemu impact masyarakat efek bocor gimana bahas judul isi draf sebar curiga bjorka orang alih isu ajah
nunggu hacker keluarin aib koruptor polisi kalo polos ngide nangkep anak komunitas gak salah awas aja tuh,nunggu hacker keluarin aib koruptor polisi kalo polos ngide nangkep anak komunitas gak salah awas tuh
paham judol diindo,paham judol diindo
bang lo teralalu bocor om ded dy ngulik,teralalu bocor ded ngulik
gw pribadi ketawa jaman java sybian nama merka gw pribadi programer yk handler alias yosep karli dzeeb handler alias diaz,pribadi ketawa jaman java sybian nama merka pribadi programer handler alias yosep karli dzeeb handler alias diaz
bjorka komen,bjorka komen
ngakak emang dengernya,ngakak emang dengernya
lo bro bjorka nya,bjorka
nonton nih channel gila kena aje lupada tipu muslihat si mentalist,nonton nih channel gila kena aje lupada tipu muslihat mentalist
heee,heee
wa gb tmn2 ane banyk yg pke,tmn ane banyk pke
dikadalin emang kadal,dikadalin emang kadal
bjorka anak muda 2012 rajalela dunia cyber,bjorka anak muda rajalela dunia cyber
lagi2 alat yg pake indonesia buat israel,alat pake indonesia buat israel
bang ajarin hacker,ajarin hacker
emang hacker yg ken nangkep koruptor untung hacker anggap pahlawan cetek pikir netizen,emang hacker ken nangkep koruptor untung hacker anggap pahlawan cetek pikir netizen
pribadi kek bjorka bkn sndirian tp kek tim g si hhe,pribadi kek bjorka bkn sndirian kek tim hhe
kemapuan blokir live tiktok aja cepet urusin keroco boirka aja drama2in panjang2in,kemapuan blokir live tiktok cepet urusin keroco boirka dramain panjangin
lawan instansi ga bang,lawan instansi
ilmu hacker gratis ken ajar nih jaman teknologi antisipasi jaga,ilmu hacker gratis ken ajar nih jaman teknologi antisipasi jaga
bjorka akun nya pegang orang orang,bjorka akun pegang orang orang
0030 wow 855beda banget cerita alir visual kece menang bikin hati layang coba,wow beda banget cerita alir visual kece menang bikin hati layang coba
jangan2 buka ngejar judol hacker buka komputer main fb youtube meechatt wkwk gilir konferensi mlah salah orang,jangan buka ngejar judol hacker buka komputer main youtube meechatt gilir konferensi mlah salah orang
tangkap udah viral banget kampung,tangkap udah viral banget kampung
asli nonggol tunjuk asli,asli nonggol tunjuk asli
deddy knapa hacker bobol judol,deddy knapa hacker bobol judol
prasaan tayang,prasaan tayang
hacker bobol jaring blockchain desentralisasi ga podcast,hacker bobol jaring blockchain desentralisasi podcast
sok2an nangkap bjorka buron kelas ecek2 kek harun mas siplester aja g nangkap eh klaim nangkap bjorka barang bukti nya cmn hp merk realme heckel pake pc program linux internet nya pake debian jd g kedetek ip nya,sok nangkap bjorka buron kelas ecek kek harun mas siplester nangkap klaim nangkap bjorka barang bukti cmn merk realme heckel pake program linux internet pake debian kedetek
bang bug bounty uang dah ribet,bug bounty uang dah ribet
ladusing kaga tangkap byorka krna bicara ladusing byorka udhh tw gk tangkap klw tangkap bandar judol c,ladusing kaga tangkap byorka krna bicara ladusing byorka udhh tangkap klw tangkap bandar judol
ngebongkar milik akun fufufafa aja ga trs lu percaya bs nangkep bjorka,ngebongkar milik akun fufufafa trs percaya nangkep bjorka
gw suka ngemod apk hacker,suka ngemod apk hacker
nangkep hecker mudah ngambil nasi kali nama nya hacker tindak benteng lacak salahsatunya manipulasi proxy klw pakai 1 2 proxy gampang tangkap klw pakai 10 susah tangkap contoh ip hacker sembunyiin proxy proxy sembunyiin proxy terus nya 1 proxy pegang negara aman bantu sedia proxy negara bongkar 1 proxy dapet ip nya ehh ip nya ter ip proxy mampus bantu negara proxy tau ip alur nya proxy blum kocak emang 62 aparat contoh kalimantan aja butuh intansi nangkep 1 hacker buat script nya sulit guna nya,nangkep hecker mudah ngambil nasi kali nama hacker tindak benteng lacak salahsatunya manipulasi proxy klw pakai proxy gampang tangkap klw pakai susah tangkap contoh hacker sembunyiin proxy proxy sembunyiin proxy terus proxy pegang negara aman bantu sedia proxy negara bongkar proxy dapet ehh ter proxy mampus bantu negara proxy tau alur proxy blum kocak emang aparat contoh kalimantan butuh intansi nangkep hacker buat script sulit
the latest generation of ransomware viruses can paralyze a country s system boss darling nyimak,the latest generation ransomware viruses can paralyze country system boss darling nyimak
akun judol aja ga tuntas2 wkkw,akun judol tuntas wkkw
908 gw kena 8 jt anjr,kena anjr
akun bjorka yg pegang,akun bjorka pegang
barang bukti hp android gak pc build up polisi siber crime pikir bjorka ngehack pake termux,barang bukti android gak build polisi siber crime pikir bjorka ngehack pake termux
ada warga percaya ma bpk2 coklat udah ga ye 100 percaya bpk2 hansip komplek,warga percaya bpk coklat udah percaya bpk hansip komplek
polisi gimana sih nyebut bjorka,polisi gimana nyebut bjorka
pol i dikadalin pol i ngadalin rakyat,pol dikadalin pol ngadalin rakyat
kerja polisi sih serius gw nanya,kerja polisi serius nanya
bg hati ngomong bg lu incar tikus kohoha jngn lancang kali bg,hati ngomong incar tikus kohoha jngn lancang kali
fake random system,fake random system
ngetag kapolri gimana bang bosen banget liat polisi kek gin trus,ngetag kapolri gimana bosen banget liat polisi kek gin trus
alih issu fufufafa ijasah palsu,alih issu fufufafa ijasah palsu
nangkap hacker nangkap maling motor aja gak tangkap yg nangkap warga polisi ngaku2 doang,nangkap hacker nangkap maling motor gak tangkap nangkap warga polisi ngaku doang
serius gaada yg bela polisi komen isi cela,serius gaada bela polisi komen isi cela
temen gue modal root pake king root trus script google hack akun fb modal sandi random situ keditek email nomor hp yg pake sandi random gue script gaya doang pas cek anjir bener cok cek bener aku aktif anjir gue,temen gue modal root pake king root trus script google hack akun modal sandi random situ keditek email nomor pake sandi random gue script gaya doang pas cek anjir bener cok cek bener aku aktif anjir gue
ngapain susah susah nangkep hecker mending amann indo ajja kuat lucu nya negri ku,ngapain susah susah nangkep hecker mending amann indo ajja kuat lucu negri
nangkap bandar judol aja gak bs aneh bs nangkap bjorka liat nya kaya liat sinetron sanjung,nangkap bandar judol gak aneh nangkap bjorka liat kaya liat sinetron sanjung
knp lara hacker ngk bobol apk pinjol,knp lara hacker ngk bobol apk pinjol
noooh,noooh
buka daftar buang buang anggar aja kerja ngapain coba perang engak,buka daftar buang buang anggar kerja ngapain coba perang engak
bahas nigeria plisss,bahas nigeria plisss
gw curiga lu bjorka yg asli om ded,curiga bjorka asli ded
ponakan joko wi jga kena tipu 300jt plaku penjara,ponakan joko jga kena tipu plaku penjara
bjorka org indonesia teks bahasa ai bahasa,bjorka org indonesia teks bahasa bahasa
kaya ga tau polusi prindavan aja tau rekam jejak polusi prindavan suka ngasal tangkap biar hebat nangkep bandar judol aja susah nangkep hacker yg hebat,kaya tau polusi prindavan tau rekam jejak polusi prindavan suka ngasal tangkap biar hebat nangkep bandar judol susah nangkep hacker hebat
knapa hacker indonesia ga serang mossad israel bujang inam kacau negara,knapa hacker indonesia serang mossad israel bujang inam kacau negara
gen z cybereskrim afk,gen cybereskrim afk
biorka orang bal,biorka orang bal
emang it perintah yg kompeten,emang perintah kompeten
chat mobile legend seru aman,chat mobile legend seru aman
akun fufufafa canda dr hacker indo,akun fufufafa canda hacker indo
bjorka tangkap judol mudah baca ip nya aja males malesan ciduk nya eh lagu nyiduk hacker,bjorka tangkap judol mudah baca males malesan ciduk lagu nyiduk hacker
beli alat lindungin data pribadi masyarakat beli main robot,beli alat lindungin data pribadi masyarakat beli main robot
percaya ladusing,percaya ladusing
trus nasib tuh anak gimane salah tangkap,trus nasib tuh anak gimane salah tangkap
yg tangkep,tangkep
ngga tau gk prestasi butuh,ngga tau prestasi butuh
masak hacker hackerin wkwkkw,masak hacker hackerin wkwkkw
fufufafa bener,fufufafa bener
wkwkw ijazah gimana ijazah isu nih bos,wkwkw ijazah gimana ijazah isu nih bos
hackers gak enak rumit kerja,hackers gak enak rumit kerja
polisi baca komen2 ketawa gak,polisi baca komen ketawa gak
emang bjorka nyata,emang bjorka nyata
tampa cepu polisi,tampa cepu polisi
tangkap ajah,tangkap ajah
masuk polisi aja jual tanah jual prestasi maklum aja kalok dungu isi pandai nya akal an mafia negri,masuk polisi jual tanah jual prestasi maklum kalok dungu isi pandai akal mafia negri
takut tau,takut tau
butuh prestasi,butuh prestasi
nangkep hacker nangkap maling motor aja gk dapet dapet,nangkep hacker nangkap maling motor dapet dapet
keren,keren
buru fufufafa deh,buru fufufafa
loe blg bjorka yg ditangkep polisi anak punk jgn ngejek polisi loe bg loe pikir polisi yg nangkep lawak hahaha tp stlh sy pikir loe bnr yg duga bjorka yg ditangkep polisi anak punk kwkwkw,loe blg bjorka ditangkep polisi anak punk jgn ngejek polisi loe loe pikir polisi nangkep lawak hahaha stlh pikir loe bnr duga bjorka ditangkep polisi anak punk kwkwkw
polisi bunuh bohong penjara,polisi bunuh bohong penjara
bjorka muncul lgi stlh bjorka punk tangkap bjorka muncul bocor bgn yg sansitif,bjorka muncul lgi stlh bjorka punk tangkap bjorka muncul bocor bgn sansitif
polisi polisi,polisi polisi
bobrok sistem bobrok tegak sistem bobrok rakyat jijik banget ma negara pantes bulan2an bangsa bangsa kaya kuat ngakunya ngirim babu negara andai nuklir 38 biji ku jatohin tiap provinsi negara,bobrok sistem bobrok tegak sistem bobrok rakyat jijik banget negara pantes bulan bangsa bangsa kaya kuat ngakunya ngirim babu negara andai nuklir biji jatohin tiap provinsi negara
malumaluin negara aja institusi coklat,malumaluin negara institusi coklat
alih isu demo nih,alih isu demo nih
bitchat aman,bitchat aman
kga harga polisi,kga harga polisi
percaya polisi,percaya polisi
polisi malu gak yaa,polisi malu gak yaa
polisi polisi polissii polisi,polisi polisi polissii polisi
malu dengernya ah simpan hati aja aib,malu dengernya simpan hati aib
hack akun jabat korup bang,hack akun jabat korup
curiga kalo bjorka cewek,curiga kalo bjorka cewek
podacast dedi cobuzer kan terupdate sukses,podacast dedi cobuzer kan terupdate sukses
jujur nanya yg ketawain,jujur nanya ketawain
anak autis hacker wait wait wait film the accountant film hackernya autis,anak autis hacker wait wait wait film the accountant film hackernya autis
buang buang angaran sih hhh,buang buang angaran hhh
pegasus israel,pegasus israel
hacker maling ayam dukun cabul aja salah tangkap ngimpi sok keren nangkep hacker hhuuaaaahahahahaha,hacker maling ayam dukun cabul salah tangkap ngimpi sok keren nangkep hacker hhuuaaaahahahahaha
bubar,bubar
judol noh tangkepin mah polisi pea,judol noh tangkepin mah polisi pea
gw udh ga percaya polisi,udh percaya polisi
iyh anjir gue ngeretas web pasang logo nama hacker gue njir,iyh anjir gue ngeretas web pasang logo nama hacker gue njir
polizi german ajg benci bat bnyak busuk,polizi german ajg benci bat bnyak busuk
ni siresta sih,siresta
alangkah pintar anakanak indonesia wakil presiden oon dukung cenel tega jerumus negara indonesia,alangkah pintar anakanak indonesia wakil presiden oon dukung cenel tega jerumus negara indonesia
